section,cell,book,iv,tenor_td,strike_off,delta_trig,budget,total_ret,max_dd,win_rate,final_equity,total_pl,n_converted,n_worthless
grid,2mo/ITM5/d85/7%/IV40,OPTION,0.4,42,-0.05,0.85,0.07,0.5229,-0.0431,0.4933,989905,339905,58,17
grid,2mo/ITM5/d90/7%/IV40,OPTION,0.4,42,-0.05,0.9,0.07,0.5229,-0.0431,0.4933,989905,339905,58,17
grid,6mo/ATM/d85/14%/IV60,OPTION,0.6,126,0.0,0.85,0.14,0.5172,-0.0633,0.52,986192,336192,55,20
grid,6mo/OTM5/d85/14%/IV60,OPTION,0.6,126,0.05,0.85,0.14,0.5152,-0.0795,0.4933,984897,334897,51,24
grid,6mo/ATM/d80/7%/IV40,OPTION,0.4,126,0.0,0.8,0.07,0.514,-0.039,0.4933,984108,334108,60,15
grid,6mo/ITM5/d90/14%/IV60,OPTION,0.6,126,-0.05,0.9,0.14,0.506,-0.054,0.5333,978871,328871,59,16
grid,6mo/ATM/d80/14%/IV60,OPTION,0.6,126,0.0,0.8,0.14,0.5057,-0.0705,0.4933,978733,328733,59,16
grid,9mo/ITM5/d80/14%/IV40,OPTION,0.4,189,-0.05,0.8,0.14,0.5042,-0.0718,0.4533,977737,327737,62,13
grid,6mo/ITM5/d85/7%/IV40,OPTION,0.4,126,-0.05,0.85,0.07,0.5028,-0.0327,0.5333,976826,326826,62,13
grid,3mo/ITM5/d80/14%/IV60,OPTION,0.6,63,-0.05,0.8,0.14,0.5028,-0.1143,0.44,976796,326796,60,15
grid,2mo/ITM5/d85/14%/IV80,OPTION,0.8,42,-0.05,0.85,0.14,0.4968,-0.0914,0.4133,972926,322926,55,20
grid,2mo/ITM5/d90/14%/IV80,OPTION,0.8,42,-0.05,0.9,0.14,0.4968,-0.0914,0.4133,972926,322926,55,20
grid,2mo/ATM/d80/14%/IV80,OPTION,0.8,42,0.0,0.8,0.14,0.4959,-0.1038,0.4,972319,322319,51,24
grid,2mo/ATM/d85/14%/IV80,OPTION,0.8,42,0.0,0.85,0.14,0.4959,-0.1038,0.4,972319,322319,51,24
grid,2mo/ATM/d90/14%/IV80,OPTION,0.8,42,0.0,0.9,0.14,0.4942,-0.1169,0.3867,971253,321253,47,28
grid,6mo/ITM5/d85/14%/IV60,OPTION,0.6,126,-0.05,0.85,0.14,0.4877,-0.0565,0.5067,966977,316977,59,16
grid,6mo/OTM5/d80/14%/IV60,OPTION,0.6,126,0.05,0.8,0.14,0.4842,-0.0754,0.48,964716,314716,53,22
grid,2mo/ATM/d85/7%/IV60,OPTION,0.6,42,0.0,0.85,0.07,0.4838,-0.0418,0.4267,964470,314470,51,24
grid,2mo/ATM/d90/7%/IV60,OPTION,0.6,42,0.0,0.9,0.07,0.4838,-0.0418,0.4267,964470,314470,51,24
grid,4mo/ATM/d80/7%/IV40,OPTION,0.4,84,0.0,0.8,0.07,0.4827,-0.0708,0.44,963727,313727,56,19
grid,6mo/ITM5/d80/14%/IV60,OPTION,0.6,126,-0.05,0.8,0.14,0.4766,-0.0697,0.4933,959809,309809,62,13
grid,9mo/OTM5/d90/7%/IV40,OPTION,0.4,189,0.05,0.9,0.07,0.4628,-0.0275,0.56,950829,300829,51,24
grid,2mo/ITM5/d90/7%/IV60,OPTION,0.6,42,-0.05,0.9,0.07,0.457,-0.0384,0.4533,947055,297055,55,20
grid,4mo/ITM5/d85/7%/IV40,OPTION,0.4,84,-0.05,0.85,0.07,0.4554,-0.0559,0.4667,945980,295980,59,16
grid,9mo/ITM5/d85/7%/IV40,OPTION,0.4,189,-0.05,0.85,0.07,0.4534,-0.0351,0.5333,944696,294696,60,15
grid,3mo/ITM5/d85/7%/IV40,OPTION,0.4,63,-0.05,0.85,0.07,0.4517,-0.0484,0.48,943634,293634,61,14
grid,3mo/ITM5/d80/7%/IV40,OPTION,0.4,63,-0.05,0.8,0.07,0.4419,-0.0525,0.4667,937259,287259,64,11
grid,2mo/ATM/d80/7%/IV60,OPTION,0.6,42,0.0,0.8,0.07,0.4377,-0.0561,0.4133,934511,284511,52,23
grid,2mo/ITM5/d80/7%/IV40,OPTION,0.4,42,-0.05,0.8,0.07,0.4365,-0.046,0.48,933757,283757,62,13
grid,9mo/ITM5/d90/7%/IV40,OPTION,0.4,189,-0.05,0.9,0.07,0.4353,-0.0327,0.52,932927,282927,55,20
grid,9mo/OTM5/d80/7%/IV40,OPTION,0.4,189,0.05,0.8,0.07,0.4305,-0.0387,0.52,929822,279822,57,18
grid,9mo/ATM/d90/7%/IV40,OPTION,0.4,189,0.0,0.9,0.07,0.4297,-0.027,0.56,929290,279290,52,23
grid,9mo/OTM5/d85/7%/IV40,OPTION,0.4,189,0.05,0.85,0.07,0.4209,-0.0283,0.5067,923575,273575,51,24
grid,9mo/ATM/d80/7%/IV40,OPTION,0.4,189,0.0,0.8,0.07,0.4155,-0.0364,0.5067,920080,270080,60,15
grid,9mo/ATM/d85/7%/IV40,OPTION,0.4,189,0.0,0.85,0.07,0.4131,-0.0337,0.52,918493,268493,56,19
grid,3mo/ITM5/d85/14%/IV80,OPTION,0.8,63,-0.05,0.85,0.14,0.4072,-0.1095,0.4267,914710,264710,56,19
grid,9mo/ITM5/d90/14%/IV60,OPTION,0.6,189,-0.05,0.9,0.14,0.406,-0.0471,0.56,913870,263870,53,22
grid,6mo/ITM5/d80/7%/IV40,OPTION,0.4,126,-0.05,0.8,0.07,0.4057,-0.0378,0.48,913675,263675,63,12
grid,3mo/OTM5/d90/7%/IV60,OPTION,0.6,63,0.05,0.9,0.07,0.4048,-0.0638,0.4133,913110,263110,45,30
grid,3mo/ITM5/d90/14%/IV80,OPTION,0.8,63,-0.05,0.9,0.14,0.4004,-0.1153,0.4133,910275,260275,54,21
grid,3mo/ATM/d80/7%/IV60,OPTION,0.6,63,0.0,0.8,0.07,0.3995,-0.062,0.4267,909671,259671,55,20
grid,3mo/OTM5/d80/7%/IV60,OPTION,0.6,63,0.05,0.8,0.07,0.3993,-0.0651,0.4133,909568,259568,48,27
