section,cell,book,iv,tenor_td,strike_off,delta_trig,budget,total_ret,max_dd,win_rate,final_equity,total_pl,n_converted,n_worthless
grid,4mo/OTM5/d85/7%/IV80,OPTION,0.8,84,0.05,0.85,0.07,0.1954,-0.0693,0.4133,777036,127036,49,26
grid,6mo/ITM5/d80/7%/IV80,OPTION,0.8,126,-0.05,0.8,0.07,0.1915,-0.063,0.4667,774490,124490,61,14
grid,6mo/ATM/d90/7%/IV80,OPTION,0.8,126,0.0,0.9,0.07,0.1889,-0.0536,0.4667,772792,122792,54,21
grid,9mo/ATM/d80/7%/IV60,OPTION,0.6,189,0.0,0.8,0.07,0.1884,-0.0486,0.4667,772476,122476,53,22
grid,9mo/OTM5/d80/7%/IV60,OPTION,0.6,189,0.05,0.8,0.07,0.1849,-0.0446,0.4667,770201,120201,51,24
grid,4mo/OTM5/d80/7%/IV80,OPTION,0.8,84,0.05,0.8,0.07,0.1822,-0.0693,0.4,768454,118454,49,26
grid,6mo/ITM5/d85/7%/IV80,OPTION,0.8,126,-0.05,0.85,0.07,0.178,-0.0501,0.48,765702,115702,59,16
grid,6mo/OTM5/d85/7%/IV80,OPTION,0.8,126,0.05,0.85,0.07,0.1735,-0.0563,0.48,762772,112772,51,24
grid,9mo/OTM5/d90/14%/IV80,OPTION,0.8,189,0.05,0.9,0.14,0.172,-0.0942,0.4267,761795,111795,49,26
grid,6mo/OTM5/d90/7%/IV80,OPTION,0.8,126,0.05,0.9,0.07,0.1711,-0.0558,0.4667,761221,111221,51,24
grid,6mo/ATM/d80/7%/IV80,OPTION,0.8,126,0.0,0.8,0.07,0.1711,-0.0491,0.4533,761183,111183,55,20
grid,6mo/ATM/d85/7%/IV80,OPTION,0.8,126,0.0,0.85,0.07,0.1665,-0.0553,0.4667,758210,108210,54,21
grid,6mo/OTM5/d80/7%/IV80,OPTION,0.8,126,0.05,0.8,0.07,0.1368,-0.0601,0.4533,738939,88939,51,24
grid,9mo/OTM5/d90/7%/IV80,OPTION,0.8,189,0.05,0.9,0.07,0.1216,-0.0825,0.4267,729056,79056,49,26
grid,9mo/ITM5/d85/14%/IV80,OPTION,0.8,189,-0.05,0.85,0.14,0.1029,-0.0952,0.48,716907,66907,53,22
grid,9mo/ATM/d85/14%/IV80,OPTION,0.8,189,0.0,0.85,0.14,0.1025,-0.0726,0.4667,716636,66636,51,24
grid,9mo/ITM5/d80/14%/IV80,OPTION,0.8,189,-0.05,0.8,0.14,0.0922,-0.0795,0.4533,709934,59934,58,17
grid,9mo/ITM5/d90/14%/IV80,OPTION,0.8,189,-0.05,0.9,0.14,0.0859,-0.0942,0.44,705842,55842,53,22
grid,9mo/ITM5/d80/7%/IV80,OPTION,0.8,189,-0.05,0.8,0.07,0.0848,-0.0685,0.4533,705117,55117,58,17
grid,9mo/ATM/d85/7%/IV80,OPTION,0.8,189,0.0,0.85,0.07,0.0841,-0.0622,0.4667,704684,54684,51,24
grid,9mo/ITM5/d85/7%/IV80,OPTION,0.8,189,-0.05,0.85,0.07,0.0812,-0.0869,0.48,702781,52781,53,22
grid,9mo/ITM5/d90/7%/IV80,OPTION,0.8,189,-0.05,0.9,0.07,0.0599,-0.0916,0.44,688960,38960,53,22
grid,9mo/OTM5/d85/14%/IV80,OPTION,0.8,189,0.05,0.85,0.14,0.0522,-0.1067,0.4133,683949,33949,49,26
grid,9mo/ATM/d90/14%/IV80,OPTION,0.8,189,0.0,0.9,0.14,0.0521,-0.1078,0.4133,683876,33876,51,24
grid,9mo/ATM/d80/7%/IV80,OPTION,0.8,189,0.0,0.8,0.07,0.0421,-0.0834,0.4,677378,27378,52,23
grid,9mo/ATM/d80/14%/IV80,OPTION,0.8,189,0.0,0.8,0.14,0.0415,-0.1152,0.4,676945,26945,52,23
grid,9mo/OTM5/d85/7%/IV80,OPTION,0.8,189,0.05,0.85,0.07,0.0369,-0.0917,0.4133,673981,23981,49,26
grid,9mo/ATM/d90/7%/IV80,OPTION,0.8,189,0.0,0.9,0.07,0.0312,-0.0974,0.4133,670257,20257,51,24
grid,9mo/OTM5/d80/7%/IV80,OPTION,0.8,189,0.05,0.8,0.07,0.0247,-0.0986,0.3733,666067,16067,50,25
grid,9mo/OTM5/d80/14%/IV80,OPTION,0.8,189,0.05,0.8,0.14,0.0239,-0.1277,0.3733,665537,15537,50,25

decomp_a_shakeout_wins,symbol,buy,stock_e3_ret,stock_$,option_$,gain_$,kind
a,SMCI,2023-12-19,-0.07,-4035,53385,57420,delta-convert-run
a,STRL,2026-02-10,-0.079,-4688,30217,34906,delta-convert-run
a,PLTR,2024-07-05,-0.115,-5866,22754,28621,delta-convert-run
a,GEV,2025-01-07,-0.105,-7781,14313,22094,delta-convert-run
a,IBIT,2024-06-03,-0.071,-6024,7064,13088,delta-convert-run
a,RKLB,2025-06-09,-0.07,-3415,9536,12951,delta-convert-run
a,TOST,2024-05-09,-0.119,-7122,3293,10415,delta-convert-run
a,FIX,2024-08-27,-0.084,-5977,3888,9865,delta-convert-run
a,APH,2026-01-12,-0.104,-6440,547,6988,delta-convert-run
a,AXON,2023-11-08,-0.07,-4282,2316,6597,delta-convert-run
a,PLTR,2025-04-15,-0.07,-2380,3646,6027,delta-convert-run
a,PLTR,2025-05-05,-0.089,-4636,737,5373,delta-convert-run
a,VRT,2025-08-28,-0.078,-3632,155,3787,delta-convert-run
a_TOTAL,,,,,,218134,
decomp_b_theta_losses,symbol,buy,stock_e3_ret,stock_$,option_$,loss_$,kind
b,NVDA,2024-05-15,0.25,6165,-3344,9509,expired-worthless
b,NVDA,2024-05-15,0.25,6165,-1672,7837,expired-worthless
b,CLS,2026-04-13,-0.007,-380,-6431,6051,expired-worthless
b,ANET,2025-09-09,-0.01,-746,-2511,1765,expired-worthless
b,DXCM,2023-06-29,-0.046,-1659,-2279,620,expired-worthless
b_TOTAL,,,,,,25783,
NET_a_minus_b,,,,,,192351,
notional_cap_on_winners_c,,,,,,293481,

notional_7pct_iv60_6mo_ATM,symbol,strike,stock_cost,atm_prem_sh,contracts,notional,notional_over_cost
notional,MSTR,208.1,17317,36.94,1,20811,1.2
notional,SNPS,442.2,51226,78.48,1,44216,0.86
notional,MCK,413.2,50991,73.34,1,41324,0.81
notional,MDB,450.3,56760,79.92,1,45028,0.79
notional,TSLA,478.8,61898,84.99,1,47885,0.77
notional,STRL,434.9,59637,77.18,1,43485,0.73
notional,APP,462.8,68650,82.15,1,46285,0.67
notional,CLS,362.3,54709,64.31,1,36234,0.66
notional,SMCI,320.4,57644,56.86,1,32037,0.56
notional,GEV,368.6,74439,65.41,1,36857,0.5
notional,FIX,343.1,70918,60.89,1,34309,0.48
notional,ARM,131.1,29416,23.26,1,13108,0.45
notional,DUOL,173.9,41719,30.86,1,17389,0.42
notional,DKS,242.3,61222,43.0,1,24227,0.4
notional,PLTR,19.9,41245,3.53,8,15922,0.39
notional,RKLB,32.0,48793,5.68,6,19215,0.39
notional,SYM,71.7,55658,12.72,3,21500,0.39
notional,IREN,65.8,50363,11.68,3,19740,0.39
notional,NVDA,94.2,24619,16.72,1,9422,0.38
notional,IBIT,40.1,84857,7.12,8,32097,0.38
notional,RBLX,74.8,39383,13.27,2,14952,0.38
notional,MOD,247.6,65490,43.95,1,24763,0.38
notional,AIT,151.5,40426,26.88,1,15148,0.37
notional,AXON,228.4,61166,40.53,1,22837,0.37
notional,VKTX,21.5,17410,3.82,3,6459,0.37
notional,DXCM,128.4,35724,22.79,1,12841,0.36
notional,AEM,57.5,47624,10.2,3,17247,0.36
notional,TOST,26.8,59882,4.76,8,21437,0.36
notional,ELF,210.9,58138,37.42,1,21085,0.36
notional,HIMS,23.8,59845,4.23,9,21450,0.36
notional,HOOD,63.2,36072,11.22,2,12639,0.35
notional,SMR,30.9,35722,5.49,4,12371,0.35
notional,CRDO,92.2,53915,16.37,2,18450,0.34
notional,ZS,170.3,52149,30.23,1,17033,0.33
notional,CCJ,51.8,46654,9.19,3,15528,0.33
notional,UHS,190.1,58071,33.75,1,19014,0.33
notional,UBER,90.3,55375,16.02,2,18051,0.33
notional,ONON,44.7,56489,7.93,4,17880,0.32
notional,APH,72.3,67636,12.84,3,21701,0.32
notional,OKLO,30.2,37885,5.36,4,12071,0.32
notional,BIRK,53.0,52030,9.4,3,15891,0.31
notional,SQ,90.1,58922,15.99,2,18024,0.31
notional,IONQ,21.0,21105,3.72,3,6286,0.3
notional,AAPL,210.9,72116,37.43,1,21089,0.29
notional,VRT,134.0,46297,23.78,1,13398,0.29
notional,IR,99.7,71786,17.69,2,19935,0.28
notional,URBN,82.2,61420,14.59,2,16437,0.27
notional,NBIS,151.2,55719,26.84,1,15125,0.27
notional,TSM,150.4,58707,26.69,1,15036,0.26
notional,CROX,151.9,59202,26.96,1,15188,0.26
notional,IBKR,132.1,56494,23.44,1,13208,0.23
notional,FTNT,105.5,46413,18.72,1,10548,0.23
notional,DDOG,130.7,58910,23.19,1,13067,0.22
notional,SCCO,120.0,59379,21.29,1,11998,0.2
notional,ANET,141.5,71039,25.11,1,14150,0.2

time_to_conversion_winners_ATM_d85_IV60,n_winners,p25_days,p50_days,p75_days,p90_days
days_to_trigger,47,52,93,177,273

tenor_crossover_ATM_d85_IV60_7pct,tenor,winners_captured,winners_lost,capture_rate,avg_prem_frac_of_alloc,avg_notional_over_cost
crossover,2mo,15,32,0.319,0.0609,0.604
crossover,3mo,23,24,0.489,0.0641,0.516
crossover,4mo,28,19,0.596,0.0666,0.462
crossover,6mo,35,12,0.745,0.0726,0.409
crossover,9mo,42,5,0.894,0.0819,0.374
