year,symbol,entry_px,exit_px,buy_date,sell_date,actual_ret,breached,max_drawdown_below_entry,hardstop_ret,delta_dollar,classification,flag
2024,IBKR,132.0782,187.5195,2024-09-19,2024-12-03,0.4198,False,-0.0028,0.4198,0.00,not breached,
2024,AMSC,35.7111,25.6209,2024-12-04,2024-12-13,-0.2826,True,-0.2848,-0.0700,15580.07,discretion HURT,
2024,ERJ,28.8988,34.9582,2024-05-14,2024-12-18,0.2097,False,,0.2097,0.00,not breached,no coverage
2024,NVDA,127.8300,127.4850,2024-08-27,2024-12-17,-0.0027,True,-0.2103,-0.0700,-4754.66,discretion HELPED,
2025,APH,72.3350,69.1950,2024-11-13,2025-01-02,-0.0434,False,-0.0506,-0.0434,0.00,not breached,
2025,SQ,90.1192,82.7350,2025-01-03,2025-01-10,-0.0819,False,,-0.0819,0.00,not breached,no coverage
2025,ONON,44.6988,59.7429,2024-08-23,2025-01-31,0.3366,False,-0.0604,0.3366,0.00,not breached,
2025,AGX,169.9090,135.6718,2025-01-14,2025-01-31,-0.2015,True,-0.2543,-0.0710,10628.52,discretion HURT,
2025,TILE,18.7020,23.5486,2024-08-23,2025-02-03,0.2591,False,-0.0685,0.2591,0.00,not breached,
2025,TOST,42.5025,38.2499,2025-02-18,2025-02-20,-0.1001,True,-0.1055,-0.0700,1835.52,discretion HURT,
2025,AXON,701.3249,531.6400,2025-02-18,2025-02-20,-0.2419,True,-0.2562,-0.0700,15760.28,discretion HURT,
2025,GEV,368.5652,360.5332,2025-01-07,2025-02-20,-0.0218,True,-0.1380,-0.0786,-4227.87,discretion HELPED,
2025,OKLO,30.1783,39.7623,2025-01-06,2025-02-21,0.3176,True,-0.2876,-0.0808,-15092.34,weathered storm to profit,
2025,DKS,242.2693,226.6147,2025-02-11,2025-02-21,-0.0646,True,-0.0849,-0.0700,-329.57,discretion HELPED,
2025,MSTR,208.1148,283.9400,2024-10-15,2025-02-24,0.3643,True,-0.1072,-0.0700,-23322.20,weathered storm to profit,
2025,PSTG,67.3840,63.3653,2025-01-16,2025-02-24,-0.0596,False,,-0.0596,0.00,not breached,no coverage
2025,IBIT,45.4834,50.0214,2024-10-28,2025-02-25,0.0998,True,-0.1608,-0.1082,-12566.58,weathered storm to profit,
2025,MTRX,13.8896,12.5200,2025-02-04,2025-02-27,-0.0986,True,-0.1540,-0.1353,-830.59,discretion HELPED,
2025,FTNT,105.4763,94.6800,2025-02-07,2025-03-13,-0.1024,True,-0.1157,-0.0700,1501.80,discretion HURT,
2025,ADMA,20.6577,18.9477,2025-04-14,2025-04-21,-0.0828,True,-0.0899,-0.0700,346.43,discretion HURT,
2025,PLTR,96.3364,89.7850,2025-04-15,2025-04-21,-0.0680,True,-0.0729,-0.0700,-67.81,discretion HELPED,
2025,AXGN,16.9926,13.3067,2024-12-26,2025-05-08,-0.2169,True,-0.3527,-0.0700,5578.51,discretion HURT,
2025,TGTX,38.1018,32.7857,2025-04-14,2025-05-13,-0.1395,True,-0.1423,-0.0700,1525.41,discretion HURT,
2025,ADMA,24.5703,20.2012,2025-04-29,2025-06-04,-0.1778,True,-0.2369,-0.0749,2428.00,discretion HURT,
2025,LOAR,98.0004,84.0389,2025-05-05,2025-06-10,-0.1425,True,-0.1725,-0.0700,1987.70,discretion HURT,
