year,symbol,entry,cost,actual_ret,fixed7_ret,fixed7_stopped,fixed7_stopdate,fixed8_ret,fixed8_stopped,fixed8_stopdate,V1_ret,V1_stopped,V1_stopdate,V2_ret,V2_stopped,V2_stopdate,V3_ret,V3_stopped,V3_stopdate,V3b_ret,V3b_stopped,V3b_stopdate,V3_note,data_src,split
2024,BPMC,97.2016,71279,-0.0685,-0.0700,True,2024-03-04,-0.0802,True,2024-03-05,-0.0700,True,2024-03-04,-0.0685,False,,-0.1013,True,2024-03-12,-0.1267,True,2024-03-20,ATR20=4.926 stop=87.351 (-10.1% below entry),tiingo_short,False
2024,CCJ,51.7600,46654,-0.0487,-0.0487,False,,-0.0487,False,,-0.0487,False,,-0.0487,False,,-0.0487,False,,-0.0487,False,,,tiingo_short,False
2024,AXON,228.3659,61166,0.3334,0.3334,False,,0.3334,False,,0.3334,False,,0.3334,False,,-0.0529,True,2023-11-09,-0.0662,True,2023-11-09,ATR20=6.044 stop=216.277 (-5.3% below entry),tiingo_short,False
2024,ARM,131.0755,29416,-0.0658,-0.0700,True,2024-04-15,-0.0658,False,,-0.0700,True,2024-04-15,-0.0668,True,2024-04-15,-0.0658,False,,-0.0658,False,,ATR20=7.009 stop=117.058 (-10.7% below entry),tiingo_short,False
2024,BLBD,30.0081,43950,0.1189,0.1189,False,,0.1189,False,,0.1189,False,,0.1204,True,2024-04-18,0.1189,False,,0.1189,False,,ATR20=0.968 stop=28.073 (-6.4% below entry),tiingo_short,False
2024,UFPT,202.8001,54467,0.0491,0.0491,False,,0.0491,False,,0.0149,True,2024-04-19,0.0491,False,,0.0491,False,,0.0491,False,,ATR20=9.135 stop=184.530 (-9.0% below entry),tiingo_short,False
2024,AAON,72.0323,43911,0.0682,0.0682,False,,0.0682,False,,0.0700,True,2024-05-03,0.0884,True,2024-05-03,0.0682,False,,0.0682,False,,ATR20=1.611 stop=68.810 (-4.5% below entry),tiingo_short,False
2024,TOST,26.7962,59882,-0.1125,-0.0700,True,2024-05-29,-0.0800,True,2024-05-29,-0.0700,True,2024-05-29,-0.1182,True,2024-05-29,-0.0808,True,2024-05-29,-0.1010,True,2024-05-29,ATR20=1.082 stop=24.632 (-8.1% below entry),tiingo_short,False
2024,VKTX,21.5260,30713,1.6187,1.6187,False,,1.6187,False,,2.6945,True,2024-02-29,1.9462,True,2024-04-19,1.6187,False,,1.6187,False,,ATR20=1.347 stop=18.831 (-12.5% below entry),tiingo_short,False
2024,SCCO,119.9800,59379,-0.1191,-0.0700,True,2024-06-04,-0.0800,True,2024-06-04,-0.0700,True,2024-06-04,-0.0817,True,2024-06-04,-0.0688,True,2024-06-04,-0.0860,True,2024-06-04,ATR20=4.126 stop=111.727 (-6.9% below entry),tiingo_short,False
2024,IBIT,40.1218,84857,-0.0832,-0.0700,True,2024-06-14,-0.0800,True,2024-06-18,-0.0700,True,2024-06-14,-0.0703,True,2024-06-14,-0.0692,True,2024-06-14,-0.0865,True,2024-06-18,ATR20=1.388 stop=37.347 (-6.9% below entry),tiingo_short,False
2024,UHS,190.1435,58071,-0.0528,-0.0528,False,,-0.0528,False,,-0.0528,False,,-0.0528,False,,-0.0437,True,2024-06-25,-0.0546,True,2024-07-05,ATR20=4.153 stop=181.837 (-4.4% below entry),tiingo_short,False
2024,CROX,151.8833,59202,-0.0568,-0.0568,False,,-0.0568,False,,-0.0568,False,,-0.0568,False,,-0.0568,False,,-0.0568,False,,ATR20=5.034 stop=141.815 (-6.6% below entry),tiingo_short,False
2024,ELF,210.8544,58138,-0.1070,-0.0700,True,2024-07-15,-0.0800,True,2024-07-15,-0.0700,True,2024-07-15,-0.1070,False,,-0.1026,True,2024-07-16,-0.1070,False,,ATR20=10.820 stop=189.214 (-10.3% below entry),tiingo_short,False
2024,NVDA,94.2200,24619,0.2504,0.2504,False,,0.2504,False,,0.2775,True,2024-06-10,0.2504,False,,0.2504,False,,0.2504,False,,ATR20=3.743 stop=86.734 (-7.9% below entry),tiingo_short,True
2024,IR,99.6763,71786,-0.1078,-0.0770,True,2024-08-01,-0.0800,True,2024-08-01,-0.0770,True,2024-08-01,-0.0847,True,2024-08-01,-0.0419,True,2024-07-25,-0.0770,True,2024-08-01,ATR20=2.089 stop=95.499 (-4.2% below entry),tiingo_short,False
2024,NVDA,94.2172,64009,0.0814,0.0814,False,,0.0814,False,,0.2776,True,2024-06-10,0.2126,True,2024-07-24,0.0814,False,,0.0814,False,,ATR20=3.743 stop=86.731 (-7.9% below entry),tiingo_short,True
2024,PLTR,26.8900,50874,-0.1066,-0.0796,True,2024-08-02,-0.0800,True,2024-08-02,-0.0796,True,2024-08-02,-0.1066,False,,-0.0796,True,2024-08-02,-0.0923,True,2024-08-02,ATR20=0.992 stop=24.905 (-7.4% below entry),tiingo_short,False
2024,TSM,150.3557,58707,-0.0067,-0.0067,False,,-0.0067,False,,0.0294,True,2024-07-25,0.0628,True,2024-07-24,0.0000,True,2024-08-02,0.0000,True,2024-08-02,ATR20=4.623 stop=141.109 (-6.2% below entry),tiingo_short,False
2024,AAPL,210.8880,72116,0.0006,-0.0700,True,2024-08-05,0.0006,False,,-0.0700,True,2024-08-05,-0.0077,True,2024-08-05,-0.0559,True,2024-08-05,-0.0577,True,2024-08-05,ATR20=4.869 stop=201.150 (-4.6% below entry),tiingo_short,False
2024,FIX,343.0890,70918,-0.0869,-0.0700,True,2024-09-03,-0.0800,True,2024-09-03,-0.0700,True,2024-09-03,-0.0824,True,2024-09-03,-0.0908,True,2024-09-04,-0.1136,True,2024-09-05,ATR20=15.584 stop=311.920 (-9.1% below entry),tiingo_short,False
2024,PRCT,81.8342,56064,-0.1663,-0.0700,True,2024-10-01,-0.0800,True,2024-10-01,-0.0700,True,2024-10-01,-0.1493,True,2024-10-07,-0.1145,True,2024-10-04,-0.1432,True,2024-10-07,ATR20=4.686 stop=72.462 (-11.5% below entry),tiingo_short,False
2024,HMY,8.6074,55791,0.1500,0.1500,False,,0.1500,False,,0.0038,True,2024-07-25,0.0619,True,2024-05-23,0.0000,True,2024-07-25,0.0000,True,2024-07-25,ATR20=0.386 stop=7.835 (-9.0% below entry),tiingo_short,False
2024,AEM,57.4885,47624,0.3422,0.3422,False,,0.3422,False,,0.3422,False,,0.3591,True,2024-11-11,0.3422,False,,0.3422,False,,ATR20=1.363 stop=54.762 (-4.7% below entry),tiingo_short,False
2024,HIMS,23.8336,59845,-0.0936,-0.0700,True,2024-10-23,-0.0800,True,2024-10-23,-0.0700,True,2024-10-23,-0.0700,True,2024-10-23,-0.1181,True,2024-10-23,-0.1476,True,2024-10-30,ATR20=1.407 stop=21.019 (-11.8% below entry),tiingo_short,False
2024,MSTR,208.1100,17317,1.1343,-0.0700,True,2024-10-16,-0.0800,True,2024-10-17,-0.0700,True,2024-10-16,-0.0700,True,2024-10-16,1.1343,False,,1.1343,False,,ATR20=14.694 stop=178.721 (-14.1% below entry),tiingo_short,False
2024,IBKR,132.0782,56494,0.4198,0.4198,False,,0.4198,False,,0.4198,False,,0.4198,False,,0.4198,False,,0.4198,False,,ATR20=2.944 stop=126.190 (-4.5% below entry),tiingo_short,False
2024,AMSC,35.7111,73300,-0.2826,-0.0700,True,2024-12-06,-0.0800,True,2024-12-06,-0.0700,True,2024-12-06,-0.2428,True,2024-12-10,-0.1789,True,2024-12-09,-0.2236,True,2024-12-10,ATR20=3.195 stop=29.322 (-17.9% below entry),tiingo_short,False
2024,ERJ,28.8988,71510,0.2097,,False,,,False,,,False,,,False,,,False,,,False,,no coverage,,False
2024,NVDA,127.8300,70648,-0.0027,-0.0700,True,2024-08-29,-0.0800,True,2024-08-29,-0.0700,True,2024-08-29,-0.0700,True,2024-08-29,-0.1149,True,2024-09-03,-0.1436,True,2024-09-03,ATR20=7.343 stop=113.144 (-11.5% below entry),tiingo_short,False
2025,APH,72.3350,67636,-0.0434,-0.0434,False,,-0.0434,False,,-0.0434,False,,-0.0392,True,2024-12-30,-0.0448,True,2024-12-20,-0.0434,False,,ATR20=1.622 stop=69.092 (-4.5% below entry),tiingo_short,False
2025,SQ,90.1192,58922,-0.0819,-0.0700,True,2025-01-10,-0.0800,True,2025-01-10,-0.0700,True,2025-01-10,-0.0841,True,2025-01-10,-0.0789,True,2025-01-10,-0.0819,False,,ATR20=3.557 stop=83.004 (-7.9% below entry),tiingo_short,False
