cik,ticker,source,entity_name
1350420,CIK1350420,fundamentals,
1346980,CIK1346980,fundamentals,
1399480,CIK1399480,fundamentals,
1395400,CIK1395400,fundamentals,
1394120,CIK1394120,fundamentals,
1393540,CIK1393540,fundamentals,
1393020,CIK1393020,fundamentals,
1392960,CIK1392960,fundamentals,
1388180,CIK1388180,fundamentals,
1385720,CIK1385720,fundamentals,
1383960,CIK1383960,fundamentals,
1381240,CIK1381240,fundamentals,
1378020,CIK1378020,fundamentals,
1377720,CIK1377720,fundamentals,
1377040,CIK1377040,fundamentals,
1375320,CIK1375320,fundamentals,
1375200,CIK1375200,fundamentals,
1373980,CIK1373980,fundamentals,
1418780,CIK1418780,fundamentals,
1418100,CIK1418100,fundamentals,
1417900,CIK1417900,fundamentals,
1415020,CIK1415020,fundamentals,
1413440,CIK1413440,fundamentals,
1410240,CIK1410240,fundamentals,
1408300,CIK1408300,fundamentals,
1406980,CIK1406980,fundamentals,
1405660,CIK1405660,fundamentals,
1405260,CIK1405260,fundamentals,
1404280,CIK1404280,fundamentals,
1403720,CIK1403720,fundamentals,
1401700,CIK1401700,fundamentals,
1401680,CIK1401680,fundamentals,
1400400,CIK1400400,fundamentals,
1400000,CIK1400000,fundamentals,
1438660,CIK1438660,fundamentals,
1434620,CIK1434620,fundamentals,
1431880,CIK1431880,fundamentals,
1430960,CIK1430960,fundamentals,
1430060,CIK1430060,fundamentals,
1429900,CIK1429900,fundamentals,
1429560,CIK1429560,fundamentals,
1428040,CIK1428040,fundamentals,
1427580,CIK1427580,fundamentals,
1426780,CIK1426780,fundamentals,
1424640,CIK1424640,fundamentals,
1424280,CIK1424280,fundamentals,
1424100,CIK1424100,fundamentals,
1422220,CIK1422220,fundamentals,
1419600,CIK1419600,fundamentals,
1419560,CIK1419560,fundamentals,
1464720,CIK1464720,fundamentals,
1464300,CIK1464300,fundamentals,
1461640,CIK1461640,fundamentals,
1455380,CIK1455380,fundamentals,
1453820,CIK1453820,fundamentals,
1453420,CIK1453420,fundamentals,
1452920,CIK1452920,fundamentals,
1452580,CIK1452580,fundamentals,
1451980,CIK1451980,fundamentals,
1451520,CIK1451520,fundamentals,
1448900,CIK1448900,fundamentals,
1448780,CIK1448780,fundamentals,
1446140,CIK1446140,fundamentals,
1444380,CIK1444380,fundamentals,
1440760,CIK1440760,fundamentals,
1439240,CIK1439240,fundamentals,
1495900,CIK1495900,fundamentals,
1493040,CIK1493040,fundamentals,
1490700,CIK1490700,fundamentals,
1490660,CIK1490660,fundamentals,
1488420,CIK1488420,fundamentals,
1487920,CIK1487920,fundamentals,
1486800,CIK1486800,fundamentals,
1486640,CIK1486640,fundamentals,
1482080,CIK1482080,fundamentals,
1479920,CIK1479920,fundamentals,
1479320,CIK1479320,fundamentals,
1479000,CIK1479000,fundamentals,
1478220,CIK1478220,fundamentals,
1477200,CIK1477200,fundamentals,
1468780,CIK1468780,fundamentals,
1467560,CIK1467560,fundamentals,
1519820,CIK1519820,fundamentals,
1518720,CIK1518720,fundamentals,
1518520,CIK1518520,fundamentals,
1518380,CIK1518380,fundamentals,
1516580,CIK1516580,fundamentals,
1515980,CIK1515980,fundamentals,
1515800,CIK1515800,fundamentals,
1515740,CIK1515740,fundamentals,
1515620,CIK1515620,fundamentals,
1511800,CIK1511800,fundamentals,
1510580,CIK1510580,fundamentals,
1501720,CIK1501720,fundamentals,
1499200,CIK1499200,fundamentals,
1498380,CIK1498380,fundamentals,
1497920,CIK1497920,fundamentals,
1497120,CIK1497120,fundamentals,
1548240,CIK1548240,fundamentals,
1546640,CIK1546640,fundamentals,
1540400,CIK1540400,fundamentals,
1540160,CIK1540160,fundamentals,
1537660,CIK1537660,fundamentals,
1528760,CIK1528760,fundamentals,
1527760,CIK1527760,fundamentals,
1526600,CIK1526600,fundamentals,
1526160,CIK1526160,fundamentals,
1525040,CIK1525040,fundamentals,
1522860,CIK1522860,fundamentals,
1522420,CIK1522420,fundamentals,
1522120,CIK1522120,fundamentals,
1521420,CIK1521420,fundamentals,
1520320,CIK1520320,fundamentals,
1520300,CIK1520300,fundamentals,
1572840,CIK1572840,fundamentals,
1567860,CIK1567860,fundamentals,
1567520,CIK1567520,fundamentals,
1565700,CIK1565700,fundamentals,
1565640,CIK1565640,fundamentals,
1565220,CIK1565220,fundamentals,
1561880,CIK1561880,fundamentals,
1561660,CIK1561660,fundamentals,
1561180,CIK1561180,fundamentals,
1557340,CIK1557340,fundamentals,
1555560,CIK1555560,fundamentals,
1554300,CIK1554300,fundamentals,
1554240,CIK1554240,fundamentals,
1553620,CIK1553620,fundamentals,
1552700,CIK1552700,fundamentals,
1550020,CIK1550020,fundamentals,
1605780,CIK1605780,fundamentals,
1605740,CIK1605740,fundamentals,
