width,f,n,premium_sold,realized_cost,vrp,premium_per_day,cost_per_day,train_premium,train_cost,train_vrp,train_n,test_premium,test_cost,test_vrp,test_n,gamma_positive_vrp,gamma_neutral_vrp,gamma_negative_vrp
20,f50,1083,238463.75,220194.9999585298,18268.7500414702,220.18813481071098,203.31948287952892,130901.25,121464.9999793743,9436.250020625694,587,107562.5,98729.99997915549,8832.500020844509,496,17735.000015857157,-3858.7499911515806,4392.500016764625
30,f50,1083,275212.5,245792.4999585499,29420.000041450112,254.12049861495845,226.9552169515696,149643.75,134357.4999781584,15286.250021841624,588,125568.75,111434.99998039151,14133.750019608487,495,22612.500024166664,-5204.999994866312,12012.500012149758
50,f50,1079,307553.75,270534.9999580565,37018.750041943495,285.0359128822984,250.72752544768906,164546.25,146872.49997169472,17673.750028305258,585,143007.5,123662.49998636177,19345.000013638237,494,26375.00001925733,-5471.249995602893,16115.000018289056
