width,adverse_move,move_pts,dist_to_short,capped_loss_d,max_capped_loss_d,med_credit_d
20,-0.01,51.77092808135441,17.092808135441373,1788.75,1788.75,211.24999999999997
20,-0.02,103.54185616270883,17.092808135441373,1788.75,1788.75,211.24999999999997
20,-0.03,155.31278424406324,17.092808135441373,1788.75,1788.75,211.24999999999997
20,-0.05,258.8546404067721,17.092808135441373,1788.75,1788.75,211.24999999999997
20,-0.07,362.3964965694809,17.092808135441373,1788.75,1788.75,211.24999999999997
30,-0.01,51.77092808135441,22.092808135441373,2732.811994591304,2765.0,235.0
30,-0.02,103.54185616270883,22.092808135441373,2765.0,2765.0,235.0
30,-0.03,155.31278424406324,22.092808135441373,2765.0,2765.0,235.0
30,-0.05,258.8546404067721,22.092808135441373,2765.0,2765.0,235.0
30,-0.07,362.3964965694809,22.092808135441373,2765.0,2765.0,235.0
50,-0.01,51.77092808135441,17.092808135441373,3215.311994591304,4747.5,252.5
50,-0.02,103.54185616270883,17.092808135441373,4747.5,4747.5,252.5
50,-0.03,155.31278424406324,17.092808135441373,4747.5,4747.5,252.5
50,-0.05,258.8546404067721,17.092808135441373,4747.5,4747.5,252.5
50,-0.07,362.3964965694809,17.092808135441373,4747.5,4747.5,252.5
