width,f,subset,n,alpha,t_alpha,r2,beta_move,beta_absmove,beta_movesq,t_move,t_absmove,t_movesq,ci_lo,ci_hi,total_pnl,mean_pnl
20,f50,all,1083,347.1963914576059,18.46390762444891,0.4228118999439787,-4576.687674285044,-120671.30870134587,1716921.7886836876,-1.792474593876989,-16.749665506568917,4.216381920953784,315.41934681295436,383.79569777978116,18268.7500414702,16.868651931182086
20,f50,train,587,353.8713508630021,12.798555419122971,0.4200681171151075,-7424.016557930998,-102705.12649127057,1025880.150354159,-2.407071724665014,-10.175678444730544,1.7518276272407458,,,9436.250020625694,16.075383340077842
20,f50,test,496,367.056761853483,14.76514123781825,0.480867811120261,-1153.2953426754102,-161426.29841935908,3010471.1260959986,-0.2521717755019988,-15.561523067178888,5.351159741311481,,,8832.500020844509,17.807459719444573
30,f50,all,1083,383.2351785456897,16.828607795300297,0.4093582219656233,-6551.472448448287,-120925.62051771581,539936.7982107399,-2.1001049598150585,-13.877955733339576,1.0841198103930583,335.9131227640205,429.97355831446293,29420.000041450112,27.16528166338884
30,f50,train,588,377.2136515736426,11.20821181022083,0.39581696396485655,-10750.906724643399,-96020.3225600562,-384415.4343819503,-2.8476707077343293,-7.8046574216669935,-0.5302441743102392,,,15286.250021841624,25.99702384666943
30,f50,test,495,423.5329711374817,14.207076577118485,0.48539564940193913,64.53765101468889,-175620.79548464267,2284264.5750117637,0.011772630267642838,-14.127022388513886,3.388149083544079,,,14133.750019608487,28.55303034264341
50,f50,all,1079,406.98813436367993,14.55674473453718,0.4021185692128001,-5189.2249601892545,-112622.36871348858,-1453047.0303745316,-1.3568335670089031,-10.538213632253496,-2.3827427881700114,341.6349800420274,470.4513959193313,37018.750041943495,34.30838743460936
50,f50,train,585,396.8951153946759,9.48960727223641,0.36890695778363747,-8533.574218203968,-88912.00732540297,-1940608.4569470803,-1.8231022275962796,-5.8289011518500855,-2.1640871717389834,,,17673.750028305258,30.211538509923518
50,f50,test,494,460.06226271651883,12.700168959735814,0.4939780994420564,-3692.9022021073324,-171350.43747539836,-181707.82607920573,-0.5549546800580827,-11.349614018515918,-0.22202307177463518,,,19345.000013638237,39.159919055947846
